Event number,time_start_sheath,time_end_sheath,time_start_plasmasheet,time_start_plasmasheet,smooth_turbulent,BL,dawndusk,Inbound,crossing_magnetopause,crossing_ps,comments,xgse,ygse,zgse,ygsm,zgsm,dist,mlt,l,bx_sheath_mean,bx_sheath_std,bx_ps_mean,bx_ps_std,by_gsm_sheath_mean,by_gsm_sheath_std,by_gsm_ps_mean,by_gsm_ps_std,bz_gsm_sheath_mean,bz_gsm_sheath_std,bz_gsm_ps_mean,bz_gsm_ps_std,h1_density_sheath_mean,h1_density_sheath_std,h1_density_ps_mean,h1_density_ps_std,he2_density_sheath_mean,he2_density_sheath_std,he2_density_ps_mean,he2_density_ps_std,mms_alpha_ratio_sheath_mean,mms_alpha_ratio_sheath_std,mms_alpha_ratio_ps_mean,mms_alpha_ratio_ps_std,imf_bx_1h_mean,imf_bx_1h_std,imf_bx_2h_mean,imf_bx_2h_std,imf_bx_3h_mean,imf_bx_3h_std,imf_by_gse_1h_mean,imf_by_gse_1h_std,imf_by_gse_2h_mean,imf_by_gse_2h_std,imf_by_gse_3h_mean,imf_by_gse_3h_std,imf_bz_gse_1h_mean,imf_bz_gse_1h_std,imf_bz_gse_2h_mean,imf_bz_gse_2h_std,imf_bz_gse_3h_mean,imf_bz_gse_3h_std,imf_by_gsm_1h_mean,imf_by_gsm_1h_std,imf_by_gsm_2h_mean,imf_by_gsm_2h_std,imf_by_gsm_3h_mean,imf_by_gsm_3h_std,imf_bz_gsm_1h_mean,imf_bz_gsm_1h_std,imf_bz_gsm_2h_mean,imf_bz_gsm_2h_std,imf_bz_gsm_3h_mean,imf_bz_gsm_3h_std,sw_p_1h_mean,sw_p_1h_std,sw_p_2h_mean,sw_p_2h_std,sw_p_3h_mean,sw_p_3h_std,sw_v_1h_mean,sw_v_1h_std,sw_v_2h_mean,sw_v_2h_std,sw_v_3h_mean,sw_v_3h_std,dst_1h_mean,dst_1h_std,dst_2h_mean,dst_2h_std,dst_3h_mean,dst_3h_std
15,2016-11-03/08:37:00,2016-11-03/08:57:00,2016-11-03/07:26:00,2016-11-03/07:46:00,,0,Duskside,0,2016-11-03/08:27:00,2016-11-03/07:56:00,,7.491428393,4.720549083,-0.808947931,3.854956503,-2.842057486,8.891539786,14.16517422,13.62349905,-7.712775707,10.46856689,53.18189621,5.148333073,0.943200469,14.46017361,39.08670425,2.713730097,-19.26379585,10.11223984,29.62731361,2.074141264,16.05320661,1.987871188,0.448293857,0.05548680608,1.428651882,0.2883172523,0.01866594411,0.003030087805,0.08874353165,0.01224873281,0.0416449095,0.004279181674,-2.863278389,0.9474558234,-1.894098163,3.02464366,0.7919671535,0.9709321856,3.885738373,0.893682301,4.13803339,1.123353362,4.423605919,1.373895884,-4.413934231,0.5454975367,-2.704262257,1.203094006,-4.743605137,1.133322716,1.550327778,0.8170515895,2.665737629,1.401933789,2.353278637,1.622528791,-5.675246239,0.6217893362,-4.150492191,0.9212915301,-6.063114166,0.5518862605,1.928102851,0.09816664457,2.070565939,0.1944361925,2.554000139,0.2306423783,402.7310181,3.235613823,403.3904419,3.394013405,405.321991,2.505362034,-45.55737686,0.8067339659,-40.9180336,1.705824733,-38.75409698,1.374235988
16,2016-11-03/14:33:00,2016-11-03/14:53:00,2016-11-03/15:17:10,2016-11-03/15:37:10,,0,Duskside,1,2016-11-03/15:03:00,2016-11-03/15:07:10,,7.249749955,9.529271119,0.1886687141,8.924059865,-3.347201738,11.97503563,15.50577562,13.58786306,-9.104870796,6.976486683,4.600495338,2.771254778,0.1291465461,6.901604176,16.69064713,3.57193017,-19.06284714,9.088859558,25.09350395,2.372398615,11.56790983,1.769072666,0.4471155888,0.06998665314,1.229414902,0.352529547,0.01406214265,0.003630342841,0.1046940491,0.01753981892,0.0313078566,0.005854314117,-5.085715294,0.5537602901,-4.82885313,0.2700684667,-5.468165874,0.1976857036,1.690357208,0.4567671418,2.440655708,0.3532792628,2.460333824,0.1278633624,-2.661964417,0.402430892,-2.464426041,0.3944090009,-2.2378335,0.4178885221,0.5221428871,0.3811977208,1.176721454,0.3320678473,1.20233345,0.2368749231,-3.108214617,0.4865205288,-3.263934851,0.3978620768,-3.098833561,0.3836006224,1.457058907,0.07316541672,1.490000129,0.06152158603,1.471428514,0.07424622774,389.2195435,1.422535181,390.5907593,3.005545378,393.9857788,2.587470055,-31.93442535,0.7717692256,-33.45901489,1.444226861,-35.9180336,0.7370001078
17,2016-10-27/10:12:20,2016-10-27/10:32:20,2016-10-27/09:06:00,2016-10-27/09:26:00,,1,Duskside,0,2016-10-27/10:02:20,2016-10-27/09:36:00,,7.092867015,6.368070355,-0.7553526788,5.173210828,-3.789560349,9.561989731,14.73372925,14.04782634,-5.866698742,7.684055805,37.22026825,4.90473032,14.7056694,21.92600822,47.87739944,2.558704615,-7.258692265,10.63508224,17.90303802,3.364812613,9.635568857,1.904382287,0.2856410006,0.06316863136,0.4218661669,0.121491645,0.007853273636,0.003218377149,0.04362887444,0.00887207816,0.02681942125,0.006950029312,-2.291016817,1.641958237,-3.020999432,1.005605817,-2.233166456,1.642007351,3.156949043,2.210198164,2.929166079,1.496927142,3.550332785,1.259491205,-1.306610107,1.612019062,0.8639999628,1.947017908,-0.5249999762,1.430968046,2.109491825,2.256412745,2.977499723,1.142592311,2.91716671,1.202124,-2.687627316,1.548562527,-0.6346666813,2.187720299,-2.069666862,1.507183909,2.009795904,0.1911204755,1.843207598,0.1558570862,1.894374847,0.1820323318,602.9714966,15.23653793,600.1433716,10.18738651,610.4750366,15.02010536,-44.70000076,2.345569849,-47.83333206,1.439946771,-38.59999847,3.370862007
18,2016-10-27/17:10:00,2016-10-27/17:30:00,2016-10-27/18:25:00,2016-10-27/18:45:00,,1,Duskside,1,2016-10-27/17:40:00,2016-10-27/18:15:00,,5.243108543,10.66054817,0.3929998794,10.31296124,-2.728473337,11.88662792,16.26190172,12.7264715,0.1157137901,7.72812748,2.892212629,1.07283318,-4.904172421,12.7873106,20.22824097,3.106168747,-16.91324997,10.75129604,32.46933365,2.169311762,10.43008258,1.702421737,0.2560352163,0.03046625124,0.3155647941,0.108530725,0.004942662074,0.001665172493,0.02972003955,0.006350689918,0.0192643935,0.005973446654,-4.042833328,1.87559104,-2.876393795,1.249078393,-1.428474665,1.297275424,2.163999319,0.9714818597,2.574589729,1.807726502,3.365423918,0.7604883909,-0.4301665723,1.806704521,-2.617212772,1.254914403,-3.368982792,1.048471451,1.908500195,1.157833815,1.477868676,1.79441011,1.78491509,0.7582110167,-1.076500177,1.7137537,-3.362622261,1.271108389,-4.420509338,1.026926041,1.703999639,0.2756365836,1.968912482,0.2276471853,2.090526342,0.2711232901,552.6380005,17.03993988,570.0326538,13.04871655,580.7498779,15.31105423,-52.13114929,2.759682417,-49.8360672,2.684401989,-44.81967163,3.052366257
19,2016-10-10/16:10:00,2016-10-10/16:30:00,2016-10-10/14:19:20,2016-10-10/14:39:20,,1,Duskside,0,2016-10-10/16:00:00,2016-10-10/14:49:20,,3.953025103,10.96537889,-0.3331686217,9.881439372,-4.7652588,11.66091519,16.47952505,13.78301665,-1.542355299,4.626699448,2.903358936,2.679641724,-17.36020088,5.784125805,22.74533272,6.371207714,-21.57048607,7.610267162,13.36558437,3.585861921,24.20223185,2.165710583,1.091197806,0.4022698329,0.8377806415,0.2243357916,0.02642680697,0.01116055723,0.03432506147,0.007741725047,0.02419002278,3.78E-03,-1.738360286,0.5000938773,-1.53918004,1.127437234,-2.672500372,0.8481937051,5.969015598,1.211458802,5.464426041,0.7946227193,4.588000298,0.8017455339,-1.43016386,3.057719946,-0.9645901918,1.7664783,-0.6335000396,1.75585103,4.81983614,1.818602562,4.396557331,1.421038151,3.683000326,1.084231019,-3.855409145,2.663176537,-3.376065731,1.340495229,-2.816000462,1.585340977,2.986166477,0.4420564473,2.843962669,0.2347530574,2.444339752,0.09822479635,356.2466736,1.682157636,351.9433289,4.167248726,341.1717224,4.095983982,-10.90163898,1.609398603,-12.39344215,1.332649946,-16.67213058,1.011950374
20,2016-09-30/17:22:00,2016-09-30/17:42:00,2016-09-30/16:00:00,2016-09-30/16:20:00,,0,Duskside,0,2016-09-30/17:12:00,2016-09-30/16:30:00,,2.146438229,11.45959282,-0.414881212,10.47501937,-4.665657841,11.66625866,17.05418899,13.5856461,-20.17083168,6.060419559,1.001461983,0.7719800472,30.93002892,5.848852158,28.36709595,1.887636304,7.699164391,7.901963234,15.57569313,1.722250223,4.197142817,1.346973755,0.2394558335,0.02066498764,0.1730752107,0.07860749516,0.01014138831,0.001707774547,0.04006759766,0.007690374723,0.04232871461,0.006000264651,-0.317704916,1.298203111,-3.236065388,1.830705881,-3.265960932,0.8110976815,4.007541656,1.063338518,1.473278642,1.759470344,2.797884703,0.9753217697,-2.088032961,0.8254408836,0.3983604908,1.358778,-0.265769273,1.270380974,2.864918232,1.247999191,1.508852363,1.100893736,2.343268871,1.398369908,-3.496885777,0.4917470515,-0.2718033195,1.925354123,-1.539807677,0.8050708771,1.87775898,0.1546364874,1.717118979,0.2949579358,1.767499804,0.2426406145,623.8862305,14.61328983,608.8256226,20.15607452,615.177124,9.138628006,-28.95081902,3.018975258,-28.37704849,1.356022954,-25.47541046,0.6482426524
21,2016-09-30/17:41:40,2016-09-30/18:01:40,2016-09-30/18:58:30,2016-09-30/19:18:30,,0,Duskside,1,2016-09-30/18:11:40,2016-09-30/18:48:30,,1.649656719,11.75550619,-0.274479579,10.98738703,-4.18862574,11.87386361,17.29373557,13.38306769,-18.19867325,4.900958538,-1.02367878,1.438628674,29.97754478,5.243049145,19.30496025,2.585842848,5.286319256,5.634727001,10.90476036,1.220480204,4.224392823,1.675452919,0.3164232941,0.1129453302,0.1905299109,0.09990039658,0.007594773862,0.00279637755,0.04353518288,0.009044646944,0.02440776089,0.00526494362,0.3859321475,1.760247111,-0.309833318,1.307689786,-3.283833265,1.80741322,4.034575939,0.7803189158,3.993667364,1.066729546,1.421333313,1.726504803,-1.091525435,1.407883883,-2.097000122,0.8294051886,0.4331665039,1.342541814,3.386610031,0.8068000078,2.847500086,1.251031518,1.475999832,1.079609513,-2.445593119,1.398854613,-3.501167059,0.4947490394,-0.2190000415,1.896538138,2.195272207,0.2207298726,1.876666903,0.1557852924,1.714483023,0.2968322933,615.5326538,14.05060959,624.1035767,14.64834118,608.0846558,19.50476646,-33.68333435,1.383825064,-28.85000038,2.939070463,-28.41666603,1.331389785
22,2016-09-19/17:09:30,2016-09-19/17:29:30,2016-09-19/15:39:00,2016-09-19/15:59:00,,2,Duskside,0,2016-09-19/16:59:30,2016-09-19/16:09:00,This doesn't look right - looks like BL,0.9315268368,11.07638758,-0.6927647746,9.943952289,-4.927889773,11.13705648,17.30516052,13.49703861,19.95492172,15.84326077,1.528052211,3.28126049,20.28105545,12.53265667,21.64315224,5.340399742,60.42850876,7.405054092,14.7650404,7.232137203,18.17188889,3.404901614,1.758104049,0.2452907434,1.439565703,0.4699835717,0.07040224885,0.008657732683,0.07759056394,0.01383962963,0.04020803434,2.72E-03,3.760000467,1.597432256,3.136998892,0.9558620453,1.614833474,0.8146237135,-9.06566906,2.153198719,-9.570168495,1.264346123,-9.202165604,0.6120930314,2.963166475,4.04597044,-4.386832714,2.187470675,-4.028666973,1.988856673,-7.090333462,3.158803701,-10.54049873,0.6967197061,-10.00566483,0.7237880826,6.410832882,3.259250641,0.3528332412,2.344651222,0.9079999924,1.945956945,7.691786289,1.129085064,6.278474331,0.6077936292,4.239152908,0.705962956,406.6517029,4.773258209,405.7372437,3.127181768,394.50354,7.04245615,-4.150000095,1.232676506,-8.383333206,1.328841567,-16.98333359,2.813356161
23,2016-09-19/20:50:10,2016-09-19/21:10:10,2016-09-19/21:54:50,2016-09-19/22:14:50,,1,Duskside,1,2016-09-19/21:20:10,2016-09-19/21:44:50,"Colder plasma in PS. ""Cold dense PS?""",-1.411185384,11.87652434,-0.1109252498,11.47318361,-3.070861662,11.96058459,18.38728845,12.85053838,15.82180786,5.663702011,-9.480547905,3.245213032,15.83614922,3.661669493,17.48822403,2.94483614,73.1499939,1.662472367,27.50930405,3.801536322,12.52219199,1.491239113,5.525890588,0.8871220062,1.359507443,0.3001794059,0.2865298954,0.05107823552,0.1083367165,0.01938483188,0.05183328998,3.59E-03,3.656500101,2.019272327,6.908999443,2.009638548,6.490999699,1.797892928,-8.402833939,4.518649101,-11.39383411,2.09975481,-8.603165627,3.482976913,15.50266647,5.0654006,11.63533211,3.127533436,9.052834511,3.207830667,-4.131999493,5.192063332,-7.673166275,2.608249426,-5.318999767,4.266298294,17.15000343,4.34389019,14.36733532,2.698305607,11.26216602,2.251352787,9.854654312,1.808725595,7.302038193,0.6723273396,7.964726448,0.5005028844,431.4758911,5.807294369,410.4851074,7.375976086,412.4490356,5.345779419,18.28333282,3.813853979,9.483333588,1.157022476,6.583333492,1.292634726
24,2017-09-29/12:21:20,2017-09-29/12:41:20,2017-09-29/13:28:40,2017-09-29/13:48:40,,1,Duskside,1,2017-09-29/12:51:20,2017-09-29/13:18:40,,-8.452757611,19.31501131,6.137516116,19.68921415,-4.803499483,21.9587768,19.51311943,23.22009601,-6.792993069,3.079226017,-5.268383503,2.488981009,3.384288549,3.925526142,4.801846981,2.376204491,1.6587708,5.552307129,5.961474895,1.147512317,3.584625934,0.7446549724,0.2757738381,0.103779228,0.1489637726,0.04657358458,0.005928999772,0.003340197027,0.04140875711,0.008793664413,0.02141989779,0.005960910744,0.7981354594,0.8369247913,-0.3185000122,0.7973703146,-0.575535655,1.140760303,2.613050699,0.7909100652,1.186166644,1.596945286,1.408928514,0.9009968042,0.105084762,1.814941049,-2.819667101,1.428396106,1.359642625,2.276331902,2.266440392,1.151602745,-0.5320000052,1.999430299,1.921250105,1.761027694,-1.296609759,1.616003513,-3.009999752,0.7819402218,0.3757143021,1.70283711,1.859473705,0.1454846561,1.922307491,0.157798782,1.997959375,0.116600804,612.9860229,5.715688229,606.0249634,5.982713699,607.1530762,10.76803207,-12.35000038,2.192630291,-14.3166666,0.9827607274,-15,0.8025383353
25,2017-09-25/09:48:30,2017-09-25/10:08:30,2017-09-25/08:54:00,2017-09-25/09:14:00,,2,Duskside,0,2017-09-25/09:38:30,2017-09-25/09:24:00,Doesn't look right. Looks like long BL,-1.70062187,19.96594164,3.860645371,18.90268788,-7.498786509,20.4067519,18.43691765,23.44674479,-5.735659599,2.516003847,-8.148935318,0.7911325097,8.69639492,2.064626932,9.830834389,0.6560553312,9.995922089,2.03574872,5.996422768,0.7053688169,0.9262157081,0.4465329943,0.5402382695,0.08972944762,0.03353403923,0.0289902833,0.007422973828,0.003977578343,0.03179599644,0.01393038772,0.01346749672,0.00579237998,3.586666584,0.7391399145,3.012000084,0.8311905265,2.886833429,0.8403519988,-1.894666553,0.3781016767,-2.133666992,0.6744714379,-2.499166965,0.7557200193,0.9311668277,0.3474073112,1.013333321,0.7177924514,0.7703333497,0.9840903282,-1.103166819,0.4705154002,-1.306833506,0.9098938107,-1.807166457,1.061733603,1.801499605,0.1910082549,1.966000199,0.3846953809,1.901166677,0.6073898673,0.8744186759,0.1495278627,0.928653717,0.08672761917,1.09214282,0.03929905221,397.2069092,8.924962044,389.5961609,6.688735962,379.0733032,2.180115938,1.583333373,0.9618425965,1.549999952,0.6992730498,1.533333302,0.5357291698
26,2017-09-19/16:12:00,2017-09-19/16:32:00,2017-09-19/13:28:00,2017-09-19/13:48:00,,1,Duskside,0,2017-09-19/16:02:00,2017-09-19/13:58:00,,-2.221680971,17.86202772,3.11612351,17.48790594,-4.789092404,18.26740612,18.28432559,19.79941375,-8.286130905,5.143098831,-6.79979372,1.376687884,6.778928757,3.934961557,12.40291691,1.962373257,2.464303732,8.234077454,6.960398197,0.99974823,3.540870924,2.059445241,0.2435094981,0.06136328965,0.2089115906,0.1411138619,0.005993494307,0.001834922461,0.05555992792,0.01771432602,0.0248782354,0.005880076648,-3.036393166,0.8428266644,-3.464333773,0.5229588747,-3.921379089,0.2808723748,1.826393247,1.815627694,1.479833484,1.463536978,1.717241764,0.5079086423,1.546393514,1.004435301,1.745833278,0.8619947433,1.079655409,0.9508647323,2.315573692,1.364687443,2.147833586,1.011272311,2.029138327,0.7041065097,0.5695081353,1.575881958,0.8293335438,1.340839386,0.04810345918,0.8148047328,1.438235402,0.20405595,1.432916284,0.1927621961,1.085333467,0.1277888864,505.2902832,9.301037788,505.7541809,6.910333157,500.5133362,4.330735207,0.2622950673,0.981523335,-1.836065531,0.8201691508,-5.245901585,0.8094388247
27,2017-09-14/02:29:40,2017-09-14/02:49:40,2017-09-14/00:46:40,2017-09-14/01:06:40,,1,Duskside,0,2017-09-14/02:19:40,2017-09-14/01:16:40,,-4.262697468,18.02603091,3.233320755,18.16434072,-2.334282713,18.80326422,18.91250458,18.99965482,-4.105344296,9.526373863,-4.03807354,0.3481481671,4.068789959,5.243824959,5.996187687,0.3077412248,7.748121738,11.79400444,8.947601318,0.288621217,9.183264765,2.168958407,0.8739888503,0.01930336107,0.4551722472,0.1720114864,0.01779618805,0.003070122789,0.04808172723,0.01010929003,0.02035982122,3.47E-03,4.222500324,0.6714306474,1.983500004,1.047207475,1.198166609,0.2499999255,-0.01716669463,1.54341042,0.1534999311,0.6330096126,-0.1408332735,1.291790605,0.2655000091,1.098137736,1.343999743,0.6485713124,1.028166533,0.5189347267,0.06716671586,1.348779917,0.4896667302,0.5889317393,0.1126666442,1.175470948,0.2701666653,1.327429652,1.2578336,0.6936029196,1.034666538,0.7413786054,3.513124466,0.150434196,1.282399893,0.7056031823,1.150909305,0.1460458487,365.8478699,3.735566616,350.8379822,5.089201927,350.0704041,2.242151976,2.099999905,1.052840948,-9.050000191,2.020446301,-8.266666412,1.205449104
28,2017-09-14/06:35:50,2017-09-14/06:55:50,2017-09-14/07:46:00,2017-09-14/08:06:00,,0,Duskside,1,2017-09-14/07:05:50,2017-09-14/07:36:00,,-6.401075775,20.17242511,4.190385805,19.71268606,-5.991332909,21.57451831,19.27821085,23.0286178,2.110292196,7.016688824,-8.673183441,3.819180965,-3.923486233,7.81801033,7.555310726,2.562088251,-0.8532593846,9.109122276,4.279353142,2.014635086,5.651694775,2.375763518,1.536351399,1.952552026,0.2820317881,0.1639514756,0.05565590138,0.1062619186,0.04497366455,0.0151748618,0.02045835242,0.01384503514,4.110678196,0.4487294853,3.899152279,0.4914029539,3.411636353,0.9058999419,-0.9905083179,0.7125293016,-3.836270332,0.5020265579,-3.713272572,0.2950082123,-2.137966156,0.5769233704,-2.70152545,1.125731707,-4.075818539,1.017676592,-1.869660974,0.8420581818,-4.626440525,0.5387462378,-4.992181778,0.3068218231,-1.442542076,0.3307702243,-0.8049153686,1.087725401,-2.323454618,1.055688739,2.21462965,0.1711968184,2.417233944,0.2100072652,2.764857054,0.1599700302,337.1407471,4.252036572,344.9127197,2.656300068,357.2513733,8.514985085,-2.099999905,1.724204659,-0.3333333433,0.7516459823,0.5333333611,1.523450851
29,2017-09-14/09:49:00,2017-09-14/10:09:00,2017-09-14/08:31:20,2017-09-14/08:51:20,,0,Duskside,0,2017-09-14/09:39:00,2017-09-14/09:01:20,,-7.421524437,20.93391966,4.622894502,20.16106415,-7.289145241,22.68654163,19.33768903,25.31576506,0.3739854395,7.330172539,-9.344257355,2.269156456,-0.7312173843,7.663441658,8.810805321,1.572069168,-3.153036594,6.944835663,2.717156887,0.954216361,10.09838243,1.351125848,0.4459388095,0.07566111435,0.578590649,0.1878401841,0.005750748004,0.00183935314,0.0572382337,0.01699063177,0.01332714281,0.004963765217,3.599181175,0.4958941042,3.348135471,0.4113454521,3.919482231,0.2376376539,-0.7919670939,1.264315128,0.9067795873,0.9988431931,-0.3913793266,0.3764909208,-0.2340984046,0.372117281,-0.7927116156,0.6929443479,-1.676206946,0.3267963827,-0.7967212796,1.230279922,0.3752542138,1.177975178,-1.149654865,0.4365493357,0.2172130644,0.4722644687,-1.148813844,0.2778121531,-1.28051734,0.2443568259,2.097999811,0.5334284902,1.778928757,0.1204790175,1.977673769,0.1019065231,338.9145508,5.738705158,333.7785645,2.42132473,331.825592,1.809642076,-2.459016323,3.036301374,-3.655737638,0.8541125655,-4.245901585,0.90656358
30,2017-08-31/03:38:40,2017-08-31/03:58:40,2017-08-31/01:24:00,2017-08-31/01:44:00,,1,Duskside,0,2017-08-31/03:28:40,2017-08-31/01:54:00,,-9.036639088,17.0915891,3.336460436,17.26624622,-2.265198159,19.61925671,19.84396481,19.84980568,12.58490944,2.221763611,-1.180846214,1.697756886,-4.711379528,1.26133585,2.165418386,1.928086758,3.320478678,1.616779685,7.37334156,0.891058445,9.975600098,0.5930785471,0.7455054327,0.02945091373,0.2595643552,0.08644737263,0.0163045761,0.002162988692,0.02567310491,0.007409742093,0.02190482642,3.07E-03,6.929999828,0.6608315706,4.508166313,0.9261866808,2.798702955,0.3549118936,-5.64116621,0.61462152,-4.080999851,1.576300979,-1.763148189,0.3978661299,0.751999855,1.422529101,0.8128333688,0.4981358349,0.1849999428,0.3310916722,-5.171999454,0.8280316591,-3.716833353,1.430315256,-1.669814944,0.4241728485,2.404167175,1.255093217,1.871500015,0.8291875124,0.5998148322,0.2860827744,3.141321182,0.6991314292,2.969824314,1.311340094,1.792825937,0.1136204898,380.7453613,4.113886356,361.1665955,12.63038349,361.1390991,4.658444881,12.86666679,1.466769457,10,6.441391468,2.333333254,0.4753827751